id,name,proposed name,2.0,1.45,xml,POG,PAG,comment
279,L1_IsoTau40er_ETM85cer,,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-48
280,L1_IsoTau40er_ETM90cer,,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-48
281,L1_IsoTau40er_ETM95cer,,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-48
282,L1_IsoTau40er_ETM100cer,L1_SingleIsoTau40er_ETM100,1,1,x,PHY,HIG,tau + MET:
283,L1_IsoTau40er_ETMHF80c,,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-48
284,L1_IsoTau40er_ETMHF90c,,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-48
285,L1_Mu22er2p1_IsoTau40er2p1,L1_SingleMu22er_IsoTau40er,1,1,x,PHY,HIG,tau + MET:  monitoring: must be unprescaled
286,L1_QuadJet36er3p0_IsoTau52er2p1,L1_QuadJetC36_IsoTau52er,0,1,x,PHY,HIG,tau + MET:  monitoring: prescaled
287,L1_ETM80cer_Jet60_dPhi_Min0p4,L1_ETM80_Jet60_dPhi_Min0p4,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
288,L1_ETM90cer_Jet60_dPhi_Min0p4,L1_ETM90_Jet60_dPhi_Min0p4,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
289,L1_ETM100cer_Jet60_dPhi_Min0p4,L1_ETM100_Jet60_dPhi_Min0p4,1,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
290,L1_ETM110cer_Jet60_dPhi_Min0p4,L1_ETM110_Jet60_dPhi_Min0p4,1,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
291,L1_DoubleJet60er3p0_ETM70cer,L1_DoubleJetC60_ETM70,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
292,L1_DoubleJet60er3p0_ETM80cer,L1_DoubleJetC60_ETM80,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
293,L1_DoubleJet60er3p0_ETM90cer,L1_DoubleJetC60_ETM90,1,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
294,L1_DoubleJet60er3p0_ETM100cer,L1_DoubleJetC60_ETM100,1,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
295,L1_DoubleEG_Iso23_10,,1,1,x,PHY,HIG,"HZZ, HWW"
296,L1_DoubleEG_Iso24_10,,1,1,x,PHY,HIG,"HZZ, HWW"
297,L1_TripleEG_Iso20_10_5,,1,1,x,PHY,HIG,"HZZ, HWW"
298,L1_DoubleJet_90_30_DoubleJet30_Mass_Min620,L1_DoubleJet_90_30_Mj30j30_620,0,1,x,PHY,HIG,Higgs VBF H to tau tau:
299,L1_DoubleJet_100_30_DoubleJet30_Mass_Min620,L1_DoubleJet_100_30_Mj30j30_620,0,1,x,PHY,HIG,Higgs VBF H to tau tau:
300,L1_DoubleJet_100_35_DoubleJet35_Mass_Min620,L1_DoubleJet_100_35_Mj35j35_620,1,1,x,PHY,HIG,Higgs VBF H to tau tau:
301,L1_DoubleJet30_Mass_Min400_Mu6,L1_DoubleJet30_Mj30j30_400_Mu6,0,1,x,PHY,HIG,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
302,L1_DoubleJet30_Mass_Min400_Mu10,L1_DoubleJet30_Mj30j30_400_Mu10,0,1,x,PHY,HIG,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
303,L1_IsoEG18er2p1_IsoTau24er2p1_dEta_Min0p2,L1_IsoEG18er_IsoTau24er_dEta_Min0p2,0,1,x,PHY,HIG,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
304,L1_IsoEG20er2p1_IsoTau25er2p1_dEta_Min0p2,L1_IsoEG20er_IsoTau25er_dEta_Min0p2,0,1,x,PHY,HIG,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
305,L1_IsoEG22er2p1_IsoTau26er2p1_dEta_Min0p2,L1_IsoEG22er_IsoTau26er_dEta_Min0p2,1,1,x,PHY,HIG,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
306,L1_Mu16er2p1_Tau20er2p1,L1_Mu16er_Tau20er,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-82
307,L1_Mu16er2p1_Tau24er2p1,L1_Mu16er_Tau24er,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-82
308,L1_Mu18er2p1_Tau20er2p1,L1_Mu18er_Tau20er,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-82
309,L1_Mu18er2p1_Tau24er2p1,L1_Mu18er_Tau24er,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-82
310,L1_Mu18er2p1_IsoTau26er2p1,L1_Mu18er_IsoTau26er,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-82
311,L1_Mu20er2p1_IsoTau26er2p1,L1_Mu20er_IsoTau26er,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-82
315,L1_Mu6_HTT240er,L1_Mu6_HTT240,1,1,x,PHY,SUS,Susy:
316,L1_Mu6_HTT250er,L1_Mu6_HTT250,1,1,x,PHY,SUS,Susy:
317,L1_Mu15_HTT100er,L1_Mu15_HTT100,1,1,x,PHY,SUS,Susy:
318,L1_DoubleMu0_ETMHF40c_Jet60_OR_DoubleJet30,L1_DoubleMu0_ETMHF40_Jet60ORDiJet30,0,0,x,PHY,SUS,Susy:
319,L1_DoubleMu0_ETMHF50c_Jet60_OR_DoubleJet30,L1_DoubleMu0_ETMHF50_Jet60ORDiJet30,0,1,x,PHY,SUS,Susy:
320,L1_DoubleMu0_ETMHF60c_Jet60_OR_DoubleJet30,L1_DoubleMu0_ETMHF60_Jet60ORDiJet30,0,1,x,PHY,SUS,Susy:
321,L1_DoubleMu0_ETMHF70c_Jet60_OR_DoubleJet30,L1_DoubleMu0_ETMHF70_Jet60ORDiJet30,1,1,x,PHY,SUS,Susy:
322,L1_DoubleMu0_ETMHF80c_Jet60_OR_DoubleJet30,L1_DoubleMu0_ETMHF80_Jet60ORDiJet30,1,1,x,PHY,SUS,Susy:
323,L1_DoubleMu3_SQ_ETMHF40c_Jet60_OR_DoubleJet30,L1_DoubleMu3HighQual_ETMHF40_Jet60ORDiJet30,0,1,x,PHY,SUS,Susy:
324,L1_DoubleMu3_SQ_ETMHF50c_Jet60_OR_DoubleJet30,L1_DoubleMu3HighQual_ETMHF50_Jet60ORDiJet30,1,1,x,PHY,SUS,Susy:
325,L1_DoubleMu3_SQ_ETMHF60c_Jet60_OR_DoubleJet30,L1_DoubleMu3HighQual_ETMHF60_Jet60ORDiJet30,1,1,x,PHY,SUS,Susy:
326,L1_DoubleMu3_SQ_ETMHF70c_Jet60_OR_DoubleJet30,L1_DoubleMu3HighQual_ETMHF70_Jet60ORDiJet30,1,1,x,PHY,SUS,Susy:
327,L1_DoubleMu3_SQ_ETMHF80c_Jet60_OR_DoubleJet30,L1_DoubleMu3HighQual_ETMHF80_Jet60ORDiJet30,1,1,x,PHY,SUS,Susy:
328,L1_DoubleMu3_SQ_HTT100er,L1_DoubleMu3HighQual_HTT100,0,1,x,PHY,SUS,Susy:
329,L1_DoubleMu3_SQ_HTT200er,,1,1,x,PHY,SUS,Added by L1DPG
330,L1_DoubleMu3_SQ_HTT220er,,1,1,x,PHY,SUS,Added by L1DPG
331,L1_DoubleMu3_SQ_HTT240er,,1,1,x,PHY,SUS,Added by L1DPG
332,L1_DoubleMu_15_7_SQ,L1_DoubleMuHighQual_15_7,1,1,x,PHY,SUS,Susy:
333,L1_DoubleMu_15_7_SQ_Mass_Min4,L1_DoubleMuHighQual_15_7_Mass4,1,1,x,PHY,SUS,Susy:
334,L1_TripleMu3_SQ,L1_TripleMu3_HighQual,1,1,x,PHY,SUS,Susy:
335,L1_DoubleEG6_HTT240er,L1_DoubleEG6_HTT240,0,1,x,PHY,SUS,Susy:
336,L1_DoubleEG6_HTT250er,L1_DoubleEG6_HTT250,0,1,x,PHY,SUS,Susy:
337,L1_DoubleEG6_HTT270er,L1_DoubleEG6_HTT270,1,1,x,PHY,SUS,Susy:
338,L1_DoubleEG6_HTT300er,L1_DoubleEG6_HTT300,1,1,x,PHY,SUS,Susy:
339,L1_ETMHF70c_Jet60_OR_DoubleJet30,L1_ETMHF70_Jet60ORDiJet30,0,0,x,PHY,SUS,Susy:
340,L1_ETMHF75c_Jet60_OR_DoubleJet30,L1_ETMHF75_Jet60ORDiJet30,0,0,x,PHY,SUS,Susy:
341,L1_ETMHF80c_Jet60_OR_DoubleJet30,L1_ETMHF80_Jet60ORDiJet30,0,1,x,PHY,SUS,Susy:
342,L1_ETMHF85c_Jet60_OR_DoubleJet30,L1_ETMHF85_Jet60ORDiJet30,0,1,x,PHY,SUS,Susy:
343,L1_ETMHF90c_Jet60_OR_DoubleJet30,L1_ETMHF90_Jet60ORDiJet30,0,1,x,PHY,SUS,Susy:
344,L1_ETMHF95c_Jet60_OR_DoubleJet30,L1_ETMHF95_Jet60ORDiJet30,0,1,x,PHY,SUS,Susy:
345,L1_ETMHF100c_Jet60_OR_DoubleJet30,L1_ETMHF100_Jet60ORDiJet30,1,1,x,PHY,SUS,Susy:
346,L1_ETMHF105c_Jet60_OR_DoubleJet30,L1_ETMHF105_Jet60ORDiJet30,1,1,x,PHY,SUS,Susy:
347,L1_ETMHF110c_Jet60_OR_DoubleJet30,L1_ETMHF110_Jet60ORDiJet30,1,1,x,PHY,SUS,Susy:
348,L1_ETMHF115c_Jet60_OR_DoubleJet30,L1_ETMHF115_Jet60ORDiJet30,1,1,x,PHY,SUS,Susy:
349,L1_ETMHF120c_Jet60_OR_DoubleJet30,L1_ETMHF120_Jet60ORDiJet30,1,1,x,PHY,SUS,Susy:
350,L1_ETMHF70c_Jet60_OR_DiJet30woTT28,L1_ETMHF70_Jet60ORDiJet30NoTT28,0,0,x,PHY,SUS,Susy:
351,L1_ETMHF80c_Jet60_OR_DiJet30woTT28,L1_ETMHF80_Jet60ORDiJet30NoTT28,0,1,x,PHY,SUS,Susy:
352,L1_ETMHF90c_Jet60_OR_DiJet30woTT28,L1_ETMHF90_Jet60ORDiJet30NoTT28,0,1,x,PHY,SUS,Susy:
353,L1_ETMHF100c_Jet60_OR_DiJet30woTT28,L1_ETMHF100_Jet60ORDiJet30NoTT28,0,1,x,PHY,SUS,Susy:
354,L1_ETMHF110c_Jet60_OR_DiJet30woTT28,L1_ETMHF110_Jet60ORDiJet30NoTT28,0,1,x,PHY,SUS,Susy:
355,L1_ETMHF120c_Jet60_OR_DiJet30woTT28,L1_ETMHF120_Jet60ORDiJet30NoTT28,0,1,x,PHY,SUS,Susy:
356,L1_ETMHF70c_Jet90_OR_DoubleJet45_OR_TripleJet30,L1_ETMHF70_Jet90ORDiJet45orTriJet30,0,0,x,PHY,SUS,Susy:
357,L1_ETMHF80c_Jet90_OR_DoubleJet45_OR_TripleJet30,L1_ETMHF80_Jet90ORDiJet45orTriJet30,0,1,x,PHY,SUS,Susy:
358,L1_ETMHF90c_Jet90_OR_DoubleJet45_OR_TripleJet30,L1_ETMHF90_Jet90ORDiJet45orTriJet30,0,1,x,PHY,SUS,Susy:
359,L1_ETMHF100c_Jet90_OR_DoubleJet45_OR_TripleJet30,L1_ETMHF100_Jet90ORDiJet45orTriJet30,1,1,x,PHY,SUS,Susy:
360,L1_ETMHF110c_Jet90_OR_DoubleJet45_OR_TripleJet30,L1_ETMHF110_Jet90ORDiJet45orTriJet30,1,1,x,PHY,SUS,Susy:
361,L1_DoubleMu7_SQ_EG7,,1,1,x,PHY,SUS,Added by L1DPG
370,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4,,1,1,x,PHY,BPH,Bphys:
371,L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18,,1,1,x,PHY,BPH,Bphys:
372,L1_DoubleMu4_SQ_OS_dR_Max1p2,,1,1,x,PHY,BPH,Bphys:
373,L1_DoubleMu5_SQ_OS_Mass7to18,,1,1,x,PHY,BPH,Bphys:
374,L1_DoubleMu_20_2_SQ_Mass_Max20,,1,1,x,PHY,BPH,Bphys:
375,L1_TripleMu_5_0_0_DoubleMu_5_0_OS_Mass_Max17,,0,1,x,PHY,BPH,Bphys:
376,L1_DoubleMu4_OS_EG12,,1,1,x,PHY,BPH,Bphys:
377,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4,,1,1,x,PHY,BPH,Bphys:
378,L1_DoubleMu4p5_SQ_OS_dR_Max1p2,,1,1,x,PHY,BPH,Bphys:
379,L1_TripleMu_5_3_0_DoubleMu_5_3_OS_Mass_Max17,,1,1,x,PHY,BPH,Bphys:
380,L1_DoubleMu5_OS_EG12,,1,1,x,PHY,BPH,Bphys:
381,L1_DoubleMu6_SQ_OS,,1,1,x,PHY,BPH,Bphys: disabled by default
390,L1_Mu6_DoubleEG17,,1,1,x,PHY,SMP,https://its.cern.ch/jira/browse/CMSLITDPG-81
391,L1_DoubleMu7_EG7,,1,1,x,PHY,SMP,https://its.cern.ch/jira/browse/CMSLITDPG-81
400,L1_IsolatedBunch,,0,0,x,,,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
401,L1_FirstBunchInTrain,,0,0,x,,,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
402,L1_FirstBunchAfterTrain,,0,0,x,,,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
403,L1_Mu5_EG15,,0,0,x,PHY,TOP,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
404,L1_Mu5_EG20,,0,0,x,PHY,TOP,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
405,L1_Mu5_IsoEG18,,0,0,x,PHY,TOP,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
406,L1_Mu12_EG10,,0,0,x,PHY,TOP,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
407,L1_Mu20_EG10,,0,0,x,PHY,TOP,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
408,L1_MU20_EG15,,0,1,x,PHY,TOP,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
409,L1_Mu20_IsoEG6,,0,1,x,PHY,TOP,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
410,L1_Mu6_HTT200er,L1_Mu6_HTT200,0,1,x,PHY,TOP,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
411,L1_Mu8_HTT150er,L1_Mu8_HTT150,0,0,x,PHY,TOP,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
412,L1_EG25er2p1_HTT125er,L1_EG25er_HTT125,0,0,x,PHY,TOP,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
413,L1_EG27er2p1_HTT200er,L1_EG27er_HTT200,0,1,x,PHY,TOP,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
414,L1_DoubleJet60er3p0_ETM60cer,L1_DoubleJetC60_ETM60,0,0,x,PHY,HIG,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
415,L1_QuadJet36er3p0_Tau52,L1_QuadJetC36_Tau52,0,0,x,PHY,HIG,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
416,L1_ETM75cer_Jet60_dPhi_Min0p4,L1_ETM75_Jet60_dPhi_Min0p4,0,0,x,PHY,HIG,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
417,L1_DoubleMu0_ETM40cer,L1_DoubleMu0_ETM40,0,0,x,PHY,SUS,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
418,L1_DoubleMu0_ETM55cer,L1_DoubleMu0_ETM55,0,0,x,PHY,SUS,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
419,L1_DoubleMu0_ETM60cer,L1_DoubleMu0_ETM60,0,0,x,PHY,SUS,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
420,L1_DoubleMu0_ETM65cer,L1_DoubleMu0_ETM65,0,0,x,PHY,SUS,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
421,L1_DoubleMu0_ETM70cer,L1_DoubleMu0_ETM70,0,1,x,PHY,SUS,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
422,L1_Jet32_DoubleMu_10_0_dPhi_Jet_Mu0_Max0p4_dPhi_Mu_Mu_Min1p0,,0,0,x,PHY,SUS,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
423,L1_Jet32_Mu0_EG10_dPhi_Jet_Mu_Max0p4_dPhi_Mu_EG_Min1p0,,0,0,x,PHY,SUS,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
424,L1_DoubleEG6_HTT255er,L1_DoubleEG6_HTT255,0,1,x,PHY,SUS,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
425,L1_DoubleMu0er1p4_dEta_Max1p8_OS,,0,1,x,PHY,BPH,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
426,L1_DoubleMu_10_0_dEta_Max1p8,,0,0,x,PHY,BPH,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
427,L1_Mu6_DoubleEG10,,0,0,x,PHY,SMP,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
428,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4,,0,0,x,PHY,BTV,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
429,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4,,0,0,x,PHY,BTV,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
430,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4,,0,1,x,PHY,BTV,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
431,L1_SingleEG2_BptxAND,,0,0,x,PHY,HIN,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
432,L1_SingleJet12_BptxAND,,0,0,x,PHY,HIN,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
433,L1_ETT55_BptxAND,,0,0,x,PHY,HIN,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
434,L1_ETT70_BptxAND,,0,0,x,PHY,HIN,Circulating
435,L1_ETT75_BptxAND,,0,0,x,PHY,HIN,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
436,L1_MinimumBiasHF0_AND_BptxAND,,0,0,x,PHY,HIN,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
437,L1_MinimumBiasHF0_OR_BptxAND,,0,0,x,PHY,HIN,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
438,L1_Mu10er2p1_ETM30cer,L1_Mu10er_ETM30,0,0,x,,,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
439,L1_Mu14er2p1_ETM30cer,L1_Mu14er_ETM30,0,0,x,,,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
450,L1_AlwaysTrue,,0,0,x,,,Cosmics:
451,L1_BptxPlus,,0,0,x,,,BRIL: bit33
452,L1_BptxMinus,,0,0,x,,,BRIL: bit34
453,L1_BptxOR,,0,0,x,,,BRIL: bit35
454,L1_NotBptxOR,,0,0,x,,,BRIL: NOT bit35
455,L1_BptxXOR,,0,0,x,,,BRIL: (bit33 AND (NOT bit34)) OR (bit34 AND (NOT bit33))
456,L1_ZeroBias,,0,0,x,,,BRIL: bit32
457,L1_ZeroBias_copy,,0,0,x,,,BRIL: bit32 - to be used for BX mask if needed
458,L1_ZeroBias_FirstCollidingBunch,,0,0,x,,,BRIL: bit19
459,L1_BeamGasB1,,0,0,x,,,BRIL: bit00
460,L1_BeamGasB2,,0,0,x,,,BRIL: bit01
461,L1_BeamGasMinus,,0,0,x,,,BRIL: bit03
462,L1_ZeroBias_VME,L1_BRIL_bit004,0,0,x,,,BRIL: bit04
463,L1_BeamGasPlus,,0,0,x,,,BRIL: bit02
464,L1_BptxPlus_VME,L1_BRIL_bit005,0,0,x,,,BRIL: bit05
465,L1_BptxMinus_VME,L1_BRIL_bit006,0,0,x,,,BRIL: bit06
466,L1_BptxOR_VME,L1_BRIL_bit007,0,0,x,,,BRIL: bit07
467,L1_BRIL_bit008,,0,0,x,,,BRIL: bit08
468,L1_BRIL_bit009,,0,0,x,,,BRIL: bit09
469,L1_BRIL_bit010,,0,0,x,,,BRIL: bit10
470,L1_BRIL_bit011,,0,0,x,,,BRIL: bit11
471,L1_BRIL_bit012,,0,0,x,,,BRIL: bit12
472,L1_BRIL_bit013,,0,0,x,,,BRIL: bit13
473,L1_BRIL_bit014,,0,0,x,,,BRIL: bit14
474,L1_BRIL_bit015,,0,0,x,,,BRIL: bit15
475,L1_BRIL_bit016,,0,0,x,,,BRIL: bit16
476,L1_BRIL_bit017,,0,0,x,,,BRIL: bit17
477,L1_BRIL_bit018,,0,0,x,,,BRIL: bit18
478,L1_BRIL_bit020,L1_BRIL_TRIG0_AND,0,0,x,,,BRIL: bit20
479,L1_BRIL_bit021,L1_BRIL_TRIG0_delayedAND,0,0,x,,,BRIL: bit21
480,L1_Last_Collision_in_Train,L1_BRIL_bit022,0,0,x,,,BRIL: bit22
481,L1_First_Collision_in_Train,L1_BRIL_bit023,0,0,x,,,BRIL: bit23
